#datatype dateTime:2006-01-02,long,long,double,double,long,long,string,string,string,string,long,long,long,long,long,long,long,double,long,long,long,long,long,measurement
date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-06-02,35,20,0.0,14.5,8,19,07:32 AM,11:37 PM,05:37 AM,08:39 PM,14,27,27,27,11,5,49,0.0,1017,35,10,223,8,rome
2022-06-03,36,21,0.0,14.5,8,26,08:28 AM,No moonset,05:37 AM,08:40 PM,12,29,29,28,10,7,38,0.0,1017,36,10,128,7,rome
2022-06-04,38,23,0.0,14.5,8,32,09:29 AM,12:17 AM,05:36 AM,08:41 PM,12,29,29,29,11,8,36,0.0,1017,38,10,187,8,rome
2022-06-05,38,24,0.0,14.5,8,39,10:31 AM,12:51 AM,05:36 AM,08:41 PM,13,29,29,29,11,19,37,0.0,1016,38,10,150,8,rome
2022-06-06,37,23,0.0,14.5,8,46,11:36 AM,01:20 AM,05:36 AM,08:42 PM,13,29,29,29,12,8,39,0.0,1013,37,10,200,9,rome
2022-06-07,35,21,0.0,14.5,7,53,12:40 PM,01:45 AM,05:36 AM,08:43 PM,11,28,28,27,13,4,38,0.0,1012,35,10,208,9,rome
2022-06-08,32,20,0.0,14.5,7,60,01:46 PM,02:08 AM,05:35 AM,08:43 PM,16,27,27,26,13,10,57,0.0,1010,32,10,199,10,rome
2022-06-09,30,20,0.0,14.5,7,66,02:54 PM,02:30 AM,05:35 AM,08:44 PM,15,24,24,24,15,24,62,0.0,1005,30,10,216,12,rome
2022-06-10,30,16,0.0,14.5,6,73,04:04 PM,02:52 AM,05:35 AM,08:45 PM,12,23,23,22,29,17,54,0.0,1008,30,10,140,23,rome
2022-06-11,34,18,0.0,14.5,7,80,05:19 PM,03:17 AM,05:35 AM,08:45 PM,13,25,25,25,12,7,50,0.0,1015,34,10,115,9,rome
2022-06-12,35,20,0.0,14.5,7,87,06:38 PM,03:46 AM,05:35 AM,08:46 PM,12,27,27,27,10,4,44,0.0,1017,35,10,171,7,rome
2022-06-13,34,20,0.0,14.5,7,93,07:59 PM,04:21 AM,05:35 AM,08:46 PM,13,27,27,26,9,3,45,0.0,1015,34,10,161,7,rome
2022-06-14,34,21,0.0,14.5,7,100,09:17 PM,05:07 AM,05:35 AM,08:47 PM,13,27,27,27,11,6,43,0.0,1015,34,10,188,8,rome
2022-06-15,34,22,0.0,14.5,7,93,10:25 PM,06:04 AM,05:35 AM,08:47 PM,14,28,28,27,11,8,45,0.0,1017,34,10,196,8,rome
2022-06-16,34,22,0.0,14.5,7,86,11:21 PM,07:14 AM,05:35 AM,08:47 PM,13,28,28,27,12,6,44,0.0,1017,34,10,195,9,rome
2022-06-17,36,22,0.0,14.5,8,80,No moonrise,08:30 AM,05:35 AM,08:48 PM,14,29,29,28,10,7,44,0.0,1018,36,10,181,8,rome
2022-06-18,34,23,0.0,14.5,7,73,12:04 AM,09:49 AM,05:35 AM,08:48 PM,14,28,28,27,12,16,46,0.0,1018,34,10,199,9,rome
2022-06-19,33,22,0.0,14.5,7,66,12:38 AM,11:05 AM,05:35 AM,08:48 PM,14,28,28,27,11,5,48,0.0,1017,33,10,199,9,rome
2022-06-20,34,21,0.0,14.5,7,59,01:06 AM,12:17 PM,05:35 AM,08:49 PM,12,28,28,27,13,2,41,0.0,1015,34,10,171,10,rome
2022-06-21,35,21,0.0,14.5,8,52,01:30 AM,01:26 PM,05:35 AM,08:49 PM,13,28,28,27,11,2,45,0.0,1015,35,10,191,8,rome
2022-06-22,37,23,0.0,14.5,8,46,01:52 AM,02:32 PM,05:35 AM,08:49 PM,12,29,29,29,11,4,38,0.0,1013,37,10,159,9,rome
2022-06-23,34,23,0.0,13.5,7,39,02:13 AM,03:37 PM,05:36 AM,08:49 PM,14,28,28,28,10,17,45,0.0,1013,34,10,163,7,rome
2022-06-24,36,24,0.0,14.5,8,32,02:35 AM,04:40 PM,05:36 AM,08:49 PM,17,30,30,29,8,13,50,0.0,1013,36,10,127,7,rome
2022-06-25,33,23,0.0,13.5,7,25,03:00 AM,05:45 PM,05:36 AM,08:49 PM,15,29,29,28,10,21,47,0.0,1014,33,10,207,8,rome
2022-06-26,37,24,0.0,14.5,8,19,03:28 AM,06:47 PM,05:37 AM,08:49 PM,13,30,30,30,12,12,37,0.0,1013,37,10,118,9,rome
2022-06-27,39,25,0.0,14.5,8,12,04:01 AM,07:49 PM,05:37 AM,08:49 PM,10,30,30,31,19,17,28,0.0,1015,39,10,147,14,rome
2022-06-28,38,26,0.0,13.5,7,5,04:41 AM,08:44 PM,05:37 AM,08:49 PM,12,31,31,31,14,32,36,0.0,1014,38,10,155,11,rome
2022-06-29,36,24,0.0,14.5,8,2,05:28 AM,09:35 PM,05:38 AM,08:49 PM,19,30,30,29,14,4,59,0.0,1012,36,10,215,11,rome
2022-06-30,37,23,0.0,14.5,8,9,06:22 AM,10:17 PM,05:38 AM,08:49 PM,15,30,30,29,14,1,48,0.0,1012,37,10,244,10,rome
2022-07-01,36,22,0.0,14.5,8,15,07:21 AM,10:53 PM,05:39 AM,08:49 PM,14,29,29,29,13,1,43,0.0,1014,36,10,203,10,rome
2022-07-02,38,23,0.0,14.5,8,22,08:23 AM,11:23 PM,05:39 AM,08:49 PM,13,30,30,30,12,0,40,0.0,1016,38,10,223,9,rome
2022-07-03,39,25,0.0,14.5,8,29,09:27 AM,11:49 PM,05:40 AM,08:49 PM,14,32,32,31,11,2,35,0.0,1015,39,10,216,8,rome
2022-07-04,40,25,0.0,14.5,8,36,10:31 AM,No moonset,05:40 AM,08:48 PM,14,32,32,32,11,1,36,0.0,1014,40,10,215,9,rome
2022-07-05,38,25,0.0,14.5,8,42,11:35 AM,12:12 AM,05:41 AM,08:48 PM,16,32,32,31,11,2,42,0.0,1014,38,10,241,8,rome
2022-07-06,38,24,0.0,14.5,8,49,12:40 PM,12:33 AM,05:42 AM,08:48 PM,14,31,31,30,13,4,40,0.0,1014,38,10,215,10,rome
